Plant ID	Scientific Name	Common Name	Family Name
1	Abelmoschus esculentus	Okra	Malvaceae
2	Abelmoschus manihot	Manioc Hibiscus	Malvaceae
3	Abelmoschus moschatus	Ambrette; Tropical Jewel Hibiscus; Muskmallow; Musk Okra	Malvaceae
4	Abies alba	Silver-Fir	Pinaceae
5	Abies balsamea	Balsam Fir	Pinaceae
6	Abies sachalinensis	Shin-Yo-Yu; Japanese Fir	Pinaceae
7	Abrus precatorius	Coral Beadplant; Weatherplant; Licorice Vine; Lucky Bean; Love	Fabaceae
8	Acacia catechu	Catechu; Black Cutch	Fabaceae
9	Acacia decurrens	Green Wattle	Fabaceae
10	Acacia farnesiana	Huisache; Popinac; Opopanax; Cassie; Sweet Acacia	Fabaceae
